run_id,run_name,lr,batch_size,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Complexity,Epoch,Generalization Gap,KL Loss on Train Data (kl mean)
xpafjawh,oprmsprop_hw2048_nl2_lr0.003_bs128_dp0.2_wd1e-05,0.003,128,0.2,1e-05,rmsprop,2,2048,61.0,31131.0,0.2672500014305115,0.00999754760414362
wexjbkz9,oprmsprop_hw2048_nl2_lr0.003_bs128_dp0.2_wd0,0.003,128,0.2,0.0,rmsprop,2,2048,65.0,16874.0,0.2824999690055847,0.009997890330851078
qm5533km,opsgd_hw2048_nl2_lr0.003_bs128_dp0.2_wd0.0001,0.003,128,0.2,0.0001,sgd,2,2048,93.0,215523.0,0.3240000009536743,0.009999291971325874
zyagb60j,opsgd_hw2048_nl2_lr0.003_bs128_dp0.2_wd1e-05,0.003,128,0.2,1e-05,sgd,2,2048,92.0,417147.0,0.31800001859664917,0.01084099430590868
h5gakesy,opsgd_hw2048_nl2_lr0.003_bs128_dp0.2_wd0,0.003,128,0.2,0.0,sgd,2,2048,92.0,420432.0,0.3190000057220459,0.01048070378601551
dmhl6p9l,opadam_hw2048_nl2_lr0.003_bs128_dp0.2_wd0.0001,0.003,128,0.2,0.0001,adam,2,2048,75.0,22120.0,0.2602499723434448,0.009997716173529623
zi2ewxyv,opadam_hw2048_nl2_lr0.003_bs128_dp0.2_wd0,0.003,128,0.2,0.0,adam,2,2048,65.0,123894.0,0.2734999656677246,0.009999532252550123
0hwp15b3,oprmsprop_hw1024_nl4_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,128,0.2,1e-05,rmsprop,4,1024,74.0,423808.0,0.25325000286102295,0.01082592736929655
b5lzw69x,oprmsprop_hw1024_nl4_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,128,0.2,0.0001,rmsprop,4,1024,73.0,18114.0,0.2512499690055847,0.009998786263167858
jj0vgegn,oprmsprop_hw1024_nl4_lr0.0003_bs128_dp0.2_wd0,0.0003,128,0.2,0.0,rmsprop,4,1024,68.0,427257.0,0.24775004386901855,0.01418385375291109
m9wav3vw,opsgd_hw1024_nl4_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,128,0.2,0.0001,sgd,4,1024,80.0,427499.0,0.281000018119812,0.012120317667722702
n13ubmj1,opsgd_hw1024_nl4_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,128,0.2,1e-05,sgd,4,1024,80.0,424845.0,0.28200000524520874,0.010943334549665453
gnc6f15r,opsgd_hw1024_nl4_lr0.0003_bs128_dp0.2_wd0,0.0003,128,0.2,0.0,sgd,4,1024,80.0,423461.0,0.2839999794960022,0.011368269100785255
gu1an6bc,opadam_hw1024_nl4_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,128,0.2,0.0001,adam,4,1024,76.0,421858.0,0.2549999952316284,0.012424390763044356
0d5h3zl5,opadam_hw1024_nl4_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,128,0.2,1e-05,adam,4,1024,74.0,426486.0,0.25824999809265137,0.012518588453531264
skdk7bbz,opadam_hw1024_nl4_lr0.0003_bs128_dp0.2_wd0,0.0003,128,0.2,0.0,adam,4,1024,80.0,421467.0,0.2565000057220459,0.011355501599609852
k4k8rppr,oprmsprop_hw1024_nl3_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,128,0.2,0.0001,rmsprop,3,1024,80.0,426245.0,0.25975000858306885,0.010158990509808064
