run_id,run_name,lr,input_dim,batch_size,output_dim,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Base Test Accuracy,Base Train Accuracy,Base Train Loss,Epoch,Epochs Taken,Final Overall Base Train Loss,Lost Patience,Overall Base Train Loss,Ran out of epochs,Reached Target,_runtime,_step,_timestamp,_wandb
5p9iz7ew,opsgd_hw2048_nl2_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,40,128,10,0.2,1e-05,sgd,2,2048,0.6769999861717224,1.0,0.05643915385007858,36143,36143,0.009999490343034267,False,0.009999490343034267,False,True,25575.02557849884,1192719,1740749268.3752124,{'runtime': 25574}
hfml1aa5,opsgd_hw2048_nl2_lr0.0003_bs128_dp0.2_wd0,0.0003,40,128,10,0.2,0.0,sgd,2,2048,0.6769999861717224,1.0,0.03322499617934227,35920,35920,0.009999914094805716,False,0.009999914094805716,False,True,21877.40558075905,1185360,1740745526.1405427,{'runtime': 21877}
d90v3n0u,opadam_hw2048_nl2_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,40,128,10,0.2,0.0001,adam,2,2048,0.6809999942779541,1.0,0.02463754452764988,74,74,0.00961111206561327,False,0.00961111206561327,False,True,93.5607054233551,2442,1740723729.9652915,{'runtime': 93}
rxkph34x,opadam_hw2048_nl2_lr0.0003_bs128_dp0.2_wd0,0.0003,40,128,10,0.2,0.0,adam,2,2048,0.6819999814033508,1.0,0.07661239057779312,59,59,0.009995214641094208,False,0.009995214641094208,False,True,88.30845928192139,1947,1740723705.2091053,{'runtime': 88}
eg31kpqc,opadam_hw2048_nl2_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,40,128,10,0.2,1e-05,adam,2,2048,0.6790000200271606,1.0,0.06067081168293953,61,61,0.00999695248901844,False,0.00999695248901844,False,True,77.47667694091797,2013,1740723692.9972188,{'runtime': 77}
kiokpqsr,oprmsprop_hw2048_nl4_lr0.001_bs128_dp0.2_wd0.0001,0.001,40,128,10,0.2,0.0001,rmsprop,4,2048,0.7670000195503235,0.9984999895095824,0.10857319086790083,68,68,0.009098433889448644,False,0.009098433889448644,False,True,1317.8126788139343,2244,1740724933.8812327,{'runtime': 1317}
kft7krqu,oprmsprop_hw2048_nl4_lr0.001_bs128_dp0.2_wd1e-05,0.001,40,128,10,0.2,1e-05,rmsprop,4,2048,0.7649999856948853,0.9992499947547911,0.02193763293325901,63,63,0.0069089834578335285,False,0.0069089834578335285,False,True,381.07199478149414,2079,1740723984.6957788,{'runtime': 380}
q4vbx0ta,oprmsprop_hw2048_nl4_lr0.001_bs128_dp0.2_wd0,0.001,40,128,10,0.2,0.0,rmsprop,4,2048,0.7519999742507935,0.9975000023841858,0.010565683245658876,62,62,0.009220171719789503,False,0.009220171719789503,False,True,128.89792037010193,2046,1740723725.7200034,{'runtime': 125}
wk7iwzos,opsgd_hw2048_nl4_lr0.001_bs128_dp0.2_wd0.0001,0.001,40,128,10,0.2,0.0001,sgd,4,2048,0.6919999718666077,1.0,0.06467093527317047,4542,4542,0.00988089945167303,False,0.00988089945167303,False,True,7298.00056552887,149886,1740730887.1086664,{'runtime': 7297}
d8qpgwyj,opsgd_hw2048_nl4_lr0.001_bs128_dp0.2_wd1e-05,0.001,40,128,10,0.2,1e-05,sgd,4,2048,0.6880000233650208,1.0,0.09390857815742493,4488,4488,0.009969757869839668,False,0.009969757869839668,False,True,6941.773641347885,148104,1740730504.8529503,{'runtime': 6941}
rnqcvukm,opsgd_hw2048_nl4_lr0.001_bs128_dp0.2_wd0,0.001,40,128,10,0.2,0.0,sgd,4,2048,0.6869999766349792,1.0,0.0927683413028717,4488,4488,0.0098792165517807,False,0.0098792165517807,False,True,8112.2066996097565,148104,1740731671.3670256,{'runtime': 8111}
hlzajpcu,opadam_hw2048_nl4_lr0.001_bs128_dp0.2_wd1e-05,0.001,40,128,10,0.2,1e-05,adam,4,2048,0.7459999918937683,0.9977499842643738,0.03932875394821167,36,36,0.009518244303762913,False,0.009518244303762913,False,True,119.28098201751708,1188,1740723658.649129,{'runtime': 117}
9kkfx6iv,opadam_hw2048_nl4_lr0.001_bs128_dp0.2_wd0.0001,0.001,40,128,10,0.2,0.0001,adam,4,2048,0.7680000066757202,0.9984999895095824,0.043560273945331573,46,46,0.00676406966522336,False,0.00676406966522336,False,True,134.69235014915466,1518,1740723665.455903,{'runtime': 134}
0rc7iza6,opadam_hw2048_nl4_lr0.001_bs128_dp0.2_wd0,0.001,40,128,10,0.2,0.0,adam,4,2048,0.7590000033378601,0.9987499713897704,0.04348382353782654,37,37,0.007830318994820118,False,0.007830318994820118,False,True,107.76406979560852,1221,1740723630.9371188,{'runtime': 103}
ae3rtq6v,oprmsprop_hw2048_nl3_lr0.001_bs128_dp0.2_wd0.0001,0.001,40,128,10,0.2,0.0001,rmsprop,3,2048,0.7310000061988831,0.9992499947547911,0.01856020838022232,48,48,0.008752943016588688,False,0.008752943016588688,False,True,567.6092350482941,1584,1740724097.686842,{'runtime': 567}
bmqu20wd,oprmsprop_hw2048_nl3_lr0.001_bs128_dp0.2_wd1e-05,0.001,40,128,10,0.2,1e-05,rmsprop,3,2048,0.7509999871253967,0.9980000257492064,0.006436226889491081,49,49,0.009065947495400906,False,0.009065947495400906,False,True,157.39397931098938,1617,1740723671.7530372,{'runtime': 157}
xd0hwkvu,oprmsprop_hw2048_nl3_lr0.001_bs128_dp0.2_wd0,0.001,40,128,10,0.2,0.0,rmsprop,3,2048,0.7089999914169312,0.999750018119812,0.016724426299333572,34,34,0.009428275749087334,False,0.009428275749087334,False,True,50.512720584869385,1122,1740723547.7537706,{'runtime': 50}
bja8ezya,opsgd_hw2048_nl3_lr0.001_bs128_dp0.2_wd0.0001,0.001,40,128,10,0.2,0.0001,sgd,3,2048,0.6919999718666077,1.0,0.04064105451107025,5743,5743,0.009945509023964403,False,0.009945509023964403,False,True,8031.814054012299,189519,1740731516.164234,{'runtime': 8031}
0pg5352d,opsgd_hw2048_nl3_lr0.001_bs128_dp0.2_wd1e-05,0.001,40,128,10,0.2,1e-05,sgd,3,2048,0.6959999799728394,1.0,0.06726429611444473,5624,5624,0.009968217462301254,False,0.009968217462301254,False,True,11802.563539981842,185592,1740735276.904742,{'runtime': 11802}
r6vl4q4e,opsgd_hw2048_nl3_lr0.001_bs128_dp0.2_wd0,0.001,40,128,10,0.2,0.0,sgd,3,2048,0.6959999799728394,1.0,0.02285485528409481,5610,5610,0.009988184086978436,False,0.009988184086978436,False,True,5492.6302037239075,185130,1740728966.3863947,{'runtime': 5492}
265cag9q,opadam_hw2048_nl3_lr0.001_bs128_dp0.2_wd0.0001,0.001,40,128,10,0.2,0.0001,adam,3,2048,0.7379999756813049,0.9987499713897704,0.08897487819194794,35,35,0.009486179798841476,False,0.009486179798841476,False,True,88.49872541427612,1155,1740723542.3855174,{'runtime': 88}
1o62kttk,opadam_hw2048_nl3_lr0.001_bs128_dp0.2_wd1e-05,0.001,40,128,10,0.2,1e-05,adam,3,2048,0.7390000224113464,0.9987499713897704,0.0030613853596150875,36,36,0.006878982298076153,False,0.006878982298076153,False,True,71.22972440719604,1188,1740723511.2185965,{'runtime': 70}
pzg33pdr,opadam_hw2048_nl3_lr0.001_bs128_dp0.2_wd0,0.001,40,128,10,0.2,0.0,adam,3,2048,0.7350000143051147,0.9992499947547911,0.008402704261243343,27,27,0.00843148771673441,False,0.00843148771673441,False,True,63.27493762969971,891,1740723496.1062095,{'runtime': 59}
lxjh7y81,oprmsprop_hw2048_nl2_lr0.001_bs128_dp0.2_wd0.0001,0.001,40,128,10,0.2,0.0001,rmsprop,2,2048,0.7200000286102295,1.0,0.023820022121071815,55,55,0.00789114460349083,False,0.00789114460349083,False,True,577.517863035202,1815,1740723989.3284822,{'runtime': 577}
spr133qb,oprmsprop_hw2048_nl2_lr0.001_bs128_dp0.2_wd1e-05,0.001,40,128,10,0.2,1e-05,rmsprop,2,2048,0.699999988079071,0.999750018119812,0.026250412687659264,45,45,0.008730128407478333,False,0.008730128407478333,False,True,47.68830680847168,1485,1740723456.9716809,{'runtime': 47}
naz1ys1n,oprmsprop_hw2048_nl2_lr0.001_bs128_dp0.2_wd0,0.001,40,128,10,0.2,0.0,rmsprop,2,2048,0.7170000076293945,1.0,0.012435734272003174,40,40,0.009295104071497915,False,0.009295104071497915,False,True,228.30585265159607,1320,1740723586.8139596,{'runtime': 224}
2kyydlck,opsgd_hw2048_nl2_lr0.001_bs128_dp0.2_wd0.0001,0.001,40,128,10,0.2,0.0001,sgd,2,2048,0.6769999861717224,1.0,0.02410048432648182,11539,11539,0.009995539672672749,False,0.009995539672672749,False,True,7586.391379594803,380787,1740730935.468711,{'runtime': 7585}
xvp7a2dn,opsgd_hw2048_nl2_lr0.001_bs128_dp0.2_wd1e-05,0.001,40,128,10,0.2,1e-05,sgd,2,2048,0.675000011920929,1.0,0.05179763585329056,10842,10842,0.009998573921620846,False,0.009998573921620846,False,True,8608.166118860245,357786,1740731944.28808,{'runtime': 8607}
ecohgi8x,opsgd_hw2048_nl2_lr0.001_bs128_dp0.2_wd0,0.001,40,128,10,0.2,0.0,sgd,2,2048,0.675000011920929,1.0,0.05115559324622154,10775,10775,0.009993239305913448,False,0.009993239305913448,False,True,7383.39324760437,355575,1740730719.3252225,{'runtime': 7383}
25fginxt,opadam_hw2048_nl2_lr0.001_bs128_dp0.2_wd0.0001,0.001,40,128,10,0.2,0.0001,adam,2,2048,0.7059999704360962,0.9994999766349792,0.08567658066749573,55,55,0.00953689869493246,False,0.00953689869493246,False,True,69.97374749183655,1815,1740723406.1000445,{'runtime': 69}
en9oaqso,opadam_hw2048_nl2_lr0.001_bs128_dp0.2_wd1e-05,0.001,40,128,10,0.2,1e-05,adam,2,2048,0.7139999866485596,1.0,0.024572091177105904,37,37,0.006007473450154066,False,0.006007473450154066,False,True,41.77174544334411,1221,1740723340.5686884,{'runtime': 40}
