run_id,run_name,lr,input_dim,batch_size,output_dim,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Batch Size,Complexity,Depth,Dist Train (kl mean),Dropout Probability,Epoch,Generalization Gap,KL Loss on Train Data (kl mean),Learning Rate,Optimizer,Weight Decay,Width,_runtime,_step,_timestamp,_wandb
2f4m7jwq,opadam_hw2048_nl3_lr0.0003_bs128_dp0.2_wd0,0.0003,40,128,10,0.2,0.0,adam,3,2048,128.0,76.0,3.0,0.011009843088686466,0.2,422437.0,0.28575003147125244,0.011009843088686466,0.0003,adam,0.0,2048.0,2882.690883398056,1169798.0,1740886634.6761005,{'runtime': 2878}
jn4lo31d,oprmsprop_hw2048_nl2_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,40,128,10,0.2,1e-05,rmsprop,2,2048,128.0,85.0,2.0,0.009997501038014889,0.2,12395.0,0.3147500157356262,0.009997501038014889,0.0003,rmsprop,1e-05,2048.0,1505.2572793960571,835018.0,1740885243.1165683,{'runtime': 1501}
owjo6ir9,oprmsprop_hw2048_nl2_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,40,128,10,0.2,0.0001,rmsprop,2,2048,128.0,85.0,2.0,0.009999084286391737,0.2,17212.0,0.2877500057220459,0.009999084286391737,0.0003,rmsprop,0.0001,2048.0,6221.649331331253,942046.0,1740889971.0589793,{'runtime': 6212}
ajpncbh5,opsgd_hw2048_nl2_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,40,128,10,0.2,0.0001,sgd,2,2048,128.0,92.0,2.0,0.011171611025929453,0.2,421190.0,0.32200002670288086,0.011171611025929453,0.0003,sgd,0.0001,2048.0,4772.581492424011,1333536.0,1740888493.7396624,{'runtime': 4768}
x8fo1d7o,oprmsprop_hw2048_nl2_lr0.0003_bs128_dp0.2_wd0,0.0003,40,128,10,0.2,0.0,rmsprop,2,2048,128.0,80.0,2.0,0.010503609664738178,0.2,418792.0,0.3097500205039978,0.010503609664738178,0.0003,rmsprop,0.0,2048.0,3103.7938425540924,1565696.0,1740886822.455973,{'runtime': 3095}
y76dxry9,opsgd_hw2048_nl2_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,40,128,10,0.2,1e-05,sgd,2,2048,128.0,93.0,2.0,0.009997774846851826,0.2,18706.0,0.32200002670288086,0.009997774846851826,0.0003,sgd,1e-05,2048.0,30940.627194166183,1069934.0,1740914620.7960565,{'runtime': 30940}
6nf5mvg6,opsgd_hw2048_nl2_lr0.0003_bs128_dp0.2_wd0,0.0003,40,128,10,0.2,0.0,sgd,2,2048,128.0,92.0,2.0,0.011670252308249474,0.2,419928.0,0.32099997997283936,0.011670252308249474,0.0003,sgd,0.0,2048.0,5152.026953935623,1224112.0,1740888830.627749,{'runtime': 5150}
fsyu9cp7,opadam_hw2048_nl2_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,40,128,10,0.2,0.0001,adam,2,2048,128.0,91.0,2.0,0.009998422116041183,0.2,15690.0,0.3190000057220459,0.009998422116041183,0.0003,adam,0.0001,2048.0,29357.922830343246,1016698.0,1740913016.6913664,{'runtime': 29349}
8uvpdh54,opadam_hw2048_nl2_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,40,128,10,0.2,1e-05,adam,2,2048,128.0,88.0,2.0,0.01046925038099289,0.2,419737.0,0.32099997997283936,0.01046925038099289,0.0003,adam,1e-05,2048.0,2771.694442510605,1195900.0,1740886393.7835186,{'runtime': 2771}
z6ife3q5,opadam_hw2048_nl2_lr0.0003_bs128_dp0.2_wd0,0.0003,40,128,10,0.2,0.0,adam,2,2048,128.0,88.0,2.0,0.010201782919466496,0.2,425028.0,0.31800001859664917,0.010201782919466496,0.0003,adam,0.0,2048.0,22237.61439561844,1225848.0,1740905845.7641406,{'runtime': 22237}
x7u8ce2f,oprmsprop_hw2048_nl4_lr0.001_bs128_dp0.2_wd0.0001,0.001,40,128,10,0.2,0.0001,rmsprop,4,2048,128.0,74.0,4.0,0.01050812378525734,0.2,428742.0,0.23149996995925903,0.01050812378525734,0.001,rmsprop,0.0001,2048.0,2195.7152364254,941370.0,1740885755.8315504,{'runtime': 2195}
5twlhj2p,oprmsprop_hw2048_nl4_lr0.001_bs128_dp0.2_wd1e-05,0.001,40,128,10,0.2,1e-05,rmsprop,4,2048,128.0,76.0,4.0,0.012470897287130356,0.2,427843.0,0.234250009059906,0.012470897287130356,0.001,rmsprop,1e-05,2048.0,2633.530898332596,1374370.0,1740886189.1232774,{'runtime': 2624}
rq5seg3l,oprmsprop_hw2048_nl4_lr0.001_bs128_dp0.2_wd0,0.001,40,128,10,0.2,0.0,rmsprop,4,2048,128.0,69.0,4.0,0.0099992910400033,0.2,335811.0,0.2455000281333923,0.0099992910400033,0.001,rmsprop,0.0,2048.0,1627.96466755867,954256.0,1740885175.4599175,{'runtime': 1627}
7r2d1liq,opsgd_hw2048_nl4_lr0.001_bs128_dp0.2_wd0.0001,0.001,40,128,10,0.2,0.0001,sgd,4,2048,128.0,80.0,4.0,0.012576780281960964,0.2,421090.0,0.30900001525878906,0.012576780281960964,0.001,sgd,0.0001,2048.0,3427.4733414649963,1718336.0,1740886974.1165905,{'runtime': 3427}
yxfh8kkw,opsgd_hw2048_nl4_lr0.001_bs128_dp0.2_wd1e-05,0.001,40,128,10,0.2,1e-05,sgd,4,2048,128.0,80.0,4.0,0.010811635293066502,0.2,435441.0,0.30900001525878906,0.010811635293066502,0.001,sgd,1e-05,2048.0,3356.3901596069336,1755866.0,1740886900.4053235,{'runtime': 3354}
fqcx12n8,opsgd_hw2048_nl4_lr0.001_bs128_dp0.2_wd0,0.001,40,128,10,0.2,0.0,sgd,4,2048,128.0,80.0,4.0,0.010874729603528976,0.2,425810.0,0.30800002813339233,0.010874729603528976,0.001,sgd,0.0,2048.0,4461.2315838336945,1630884.0,1740888000.1273527,{'runtime': 4452}
kxhy61ig,opadam_hw2048_nl4_lr0.001_bs128_dp0.2_wd0.0001,0.001,40,128,10,0.2,0.0001,adam,4,2048,128.0,69.0,4.0,0.009999927133321762,0.2,331107.0,0.2304999828338623,0.009999927133321762,0.001,adam,0.0001,2048.0,2069.537242174149,1025676.0,1740885594.622816,{'runtime': 2060}
