run_id,run_name,lr,batch_size,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Base Test Accuracy,Base Train Accuracy,Epochs Taken,Lost Patience,Overall Base Train Loss,Ran out of epochs,Reached Target
9fs878by,opadam_hw1024_nl3_lr0.003_bs64_dp0.1_wd1e-05,0.003,64,0.1,1e-05,adam,3,1024,0.7519999742507935,0.9962499737739564,111,False,0.005579838529229164,False,True
bi17696l,opadam_hw1024_nl3_lr0.003_bs64_dp0.1_wd0,0.003,64,0.1,0.0,adam,3,1024,0.7429999709129333,0.9944999814033508,102,False,0.004782252945005894,False,True
ew1iuyuu,oprmsprop_hw1024_nl2_lr0.003_bs64_dp0.1_wd0.0001,0.003,64,0.1,0.0001,rmsprop,2,1024,0.7300000190734863,0.9984999895095824,49,False,0.00939810648560524,False,True
6vp2knjy,oprmsprop_hw1024_nl2_lr0.003_bs64_dp0.1_wd1e-05,0.003,64,0.1,1e-05,rmsprop,2,1024,0.6859999895095825,0.9972500205039978,72,False,0.00946730561554432,False,True
kueanc3c,oprmsprop_hw1024_nl2_lr0.003_bs64_dp0.1_wd0,0.003,64,0.1,0.0,rmsprop,2,1024,0.7070000171661377,0.9984999895095824,49,False,0.008155584335327148,False,True
biexmhlx,opsgd_hw1024_nl2_lr0.003_bs64_dp0.1_wd0.0001,0.003,64,0.1,0.0001,sgd,2,1024,0.6800000071525574,1.0,2428,False,0.009991483762860298,False,True
js7yhvn3,opsgd_hw1024_nl2_lr0.003_bs64_dp0.1_wd0,0.003,64,0.1,0.0,sgd,2,1024,0.6809999942779541,1.0,2249,False,0.009981565177440643,False,True
y4o9w725,opsgd_hw1024_nl2_lr0.003_bs64_dp0.1_wd1e-05,0.003,64,0.1,1e-05,sgd,2,1024,0.6819999814033508,1.0,2265,False,0.009997242130339146,False,True
cdex9108,opadam_hw1024_nl2_lr0.003_bs64_dp0.1_wd0.0001,0.003,64,0.1,0.0001,adam,2,1024,0.7239999771118164,0.9987499713897704,80,False,0.00882515124976635,False,True
pnvtfuj9,opadam_hw1024_nl2_lr0.003_bs64_dp0.1_wd1e-05,0.003,64,0.1,1e-05,adam,2,1024,0.722000002861023,0.996749997138977,75,False,0.009847920387983322,False,True
bevqt3la,opadam_hw1024_nl2_lr0.003_bs64_dp0.1_wd0,0.003,64,0.1,0.0,adam,2,1024,0.7059999704360962,0.9982500076293944,57,False,0.005641359835863113,False,True
pvc85wvd,oprmsprop_hw512_nl4_lr0.0003_bs64_dp0.1_wd0.0001,0.0003,64,0.1,0.0001,rmsprop,4,512,0.7250000238418579,0.9994999766349792,53,False,0.008917958475649357,False,True
p7gn7xln,oprmsprop_hw512_nl4_lr0.0003_bs64_dp0.1_wd1e-05,0.0003,64,0.1,1e-05,rmsprop,4,512,0.7390000224113464,1.0,50,False,0.006534944754093885,False,True
uzyupcei,oprmsprop_hw512_nl4_lr0.0003_bs64_dp0.1_wd0,0.0003,64,0.1,0.0,rmsprop,4,512,0.7049999833106995,0.9992499947547911,48,False,0.00990829151123762,False,True
rem9me6w,opsgd_hw512_nl4_lr0.0003_bs64_dp0.1_wd0.0001,0.0003,64,0.1,0.0001,sgd,4,512,0.6880000233650208,1.0,12639,False,0.009999201633036137,False,True
87sayeea,opsgd_hw512_nl4_lr0.0003_bs64_dp0.1_wd1e-05,0.0003,64,0.1,1e-05,sgd,4,512,0.6899999976158142,1.0,12429,False,0.00999485980719328,False,True
fttjk8sn,opadam_hw512_nl4_lr0.0003_bs64_dp0.1_wd0.0001,0.0003,64,0.1,0.0001,adam,4,512,0.7400000095367432,1.0,54,False,0.006845284719020128,False,True
row3888s,opsgd_hw512_nl4_lr0.0003_bs64_dp0.1_wd0,0.0003,64,0.1,0.0,sgd,4,512,0.6909999847412109,1.0,12410,False,0.0099796736612916,False,True
56jholja,opadam_hw512_nl4_lr0.0003_bs64_dp0.1_wd1e-05,0.0003,64,0.1,1e-05,adam,4,512,0.7390000224113464,1.0,51,False,0.007043926976621151,False,True
